video_id,category_id,duration_seconds,upload_hour,upload_dayofweek,is_weekend,early_snapshot_age_hours,early_snapshot_count,early_views,early_likes,early_comments,early_views_per_hour,early_like_rate,early_comment_rate,early_engagement_rate,target_snapshot_age_hours,target_engagement_rate
VrcP63fuouI,22.0,283.0,5,4,0,5.942293333333334,21,9,0,0,1.5145667665906766,0.0,0.0,0.0,23.942354722222223,0.0
VuHxkli_Ncw,24.0,1372.0,13,2,0,5.936738888888889,33,54,0,8,9.095902819823454,0.0,14.814814814814811,14.814814814814811,23.936720833333336,8.0
Vw9REype3Hc,20.0,353.0,9,3,0,5.940342222222222,27,209,21,13,35.183158171957174,10.047846889952153,6.220095693779904,16.267942583732058,23.94032027777778,4.1548630783758265
Vz4xLghevU8,22.0,61.0,9,1,0,5.945330277777777,27,76,16,0,12.78314180190625,21.052631578947366,0.0,21.052631578947366,23.945354444444444,12.949640287769784
W-naWsDoJv8,15.0,24.0,19,4,0,5.888825555555556,20,893,27,2,151.64314031301845,3.023516237402016,0.2239641657334826,3.2474804031354982,24.0554425,2.0070671378091878
W29s2UAZzks,15.0,12.0,21,4,0,5.938190277777778,27,3601,0,5,606.4137104996214,0.0,0.1388503193557345,0.1388503193557345,23.938213333333334,0.0472427417969421
WKRsf0b1B8E,15.0,606.0,21,0,0,5.958296111111111,30,1372,52,7,230.2671727646224,3.7900874635568513,0.5102040816326531,4.300291545189505,23.958176111111108,2.4775268581451435
WPAIdlB-UUA,15.0,2884.0,20,0,0,5.935735277777778,21,1350,66,2,227.43601876150603,4.888888888888889,0.1481481481481481,5.037037037037037,23.93561833333333,3.481098721784063
WQ2Nu1kYtuc,15.0,20.0,19,2,0,5.858469444444445,18,4228,180,2,721.6902025510075,4.257332071901608,0.0473036896877956,4.304635761589404,24.025114444444444,2.65041081367612
WUts9LqRS7U,28.0,2505.0,18,1,0,5.942119444444445,30,777,8,0,130.76142397750894,1.0296010296010296,0.0,1.0296010296010296,23.942006666666668,1.0282776349614395
WVuBrzXvC8g,15.0,1856.0,22,5,1,5.900133611111111,35,4931,115,0,835.7437856515584,2.3321841411478403,0.0,2.3321841411478403,24.066791388888888,1.489288578302211
Wcrs6XSGbQk,22.0,983.0,9,4,0,5.936383888888889,27,430,10,3,72.43466865490785,2.3255813953488373,0.6976744186046512,3.0232558139534884,23.936592777777776,0.777676120768527
WiOJ7V7u8KE,22.0,1765.0,9,4,0,5.957569166666667,32,1227,410,33,205.9564842092336,33.41483292583537,2.689486552567237,36.10431947840261,23.957591666666666,8.661153330353152
WiaJtnb5y9c,15.0,20.0,22,6,1,5.9375269444444445,33,17778,113,0,2994.17588607902,0.6356170547868152,0.0,0.6356170547868152,23.937751388888888,0.529152058174263
WkJOnhtDl8Y,22.0,4299.0,8,1,0,5.945354999999999,21,4516,541,221,759.5845832586954,11.979627989371124,4.893711248892826,16.873339238263952,23.9453375,6.567001160488771
WobP4vqB4mQ,22.0,3863.0,14,0,0,5.942019444444445,21,62,0,0,10.434163095505784,0.0,0.0,0.0,23.94174388888889,0.0
